,References,Value,Qty,Part Number,MFG
,C3 C8 C9 C10 C11 C20 C21 C22 C23 C28,0.1uF_25V_0402_x7r,10,CGA2B3X7R1E104K050BB,TDK
,C12 C13 C14 C15 C16 C17 C18 C19,C_22pF_0402_50V_C0G,8,GRM1555C1H220JA01D,Murata
,C1 C2 C4 C5 C6 C7 C24 C25 C26 C27,C_4.7uf_50V_x7r_1206,10,GRM31CR71H475KA12L,Murata
,J1 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13,Conn_4mm_pad,12,,
,J2 J14,SMA_F_Amp_901-10309,2,901-10309,Amp
,R5 R6,R_100k_sm0603,2,RT0603FRE07100KL,Yageo
,R7 R8 R9 R10,R_10K_sm0603,4,RT0603FRE0710KL,Yaego
,R1 R2 R3 R4,R_24_sm0603,4,RT0603FRE0724RL,Yageo
,T1 T2,Taper_45mil_to_12mil,2,,
,TH1 TH2,Thermistor_NTC_ERT-J1VV473J,2,ERT-J1VV473J,Panasonic
,U2,HMC1121,1,HMC1121LP6GE,Analog Devices
,U1,MCP1703T-5002,1,MCP1703T-5002E/CB,Microchip
,U3,MIC7300,1,MIC7300YM5-TR,Microchip
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
13,,,,,
59,,,,,
59,,,,,
1,,,,,
59,,,,,
0,,,,,
2019-12-25,,,,,
1/7/2020 9:40:04 PM,,,,,
C:\Users\Julian\Documents\kicad_project\HMC1121_4W_6CM\HMC1121_4W_6CM.sch,,,,,
Eeschema (5.1.5)-3,,,,,
